Filesystem                 Type      Size  Used Avail Use% Mounted on
devtmpfs                   devtmpfs  503G     0  503G   0% /dev
tmpfs                      tmpfs     504G  1.7M  504G   1% /dev/shm
tmpfs                      tmpfs     202G   12M  202G   1% /run
efivarfs                   efivarfs  304K  152K  148K  51% /sys/firmware/efi/efivars
/dev/mapper/almalinux-root xfs        70G   21G   50G  30% /
/dev/sdb2                  xfs       960M  520M  441M  55% /boot
/dev/mapper/almalinux-home xfs       372G  3.2G  369G   1% /home
/dev/sdb1                  vfat      599M  7.7M  592M   2% /boot/efi
/dev/md0                   xfs       931G  120G  812G  13% /data_siap
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/3054f2d14a28d7d2ea73f715b69e90fa07797ad9a50eee4bb7152233c5e63f5d
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/2d6df1f5a2dd507d4695a73df5bf7c66af4389fd1cdabc818c92a88a429f02ef
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/c9d76759ad8180c1953c19831c8eef045e0a970aa053037ae2bb50ebda922470
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/2b7a76a526dc409583f23d91a2f56c99b53acbd04cefda24924157ce589a47ee
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/e4b5e531ca333585eea53400e86c3d13fcbbfcb4d0a1df81801d971ae9089c8d
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/3b7c0191f5699cd10545441f8230faf25cc81fcd1c64aa0b18402bfb50f7dcad
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/b79f89e2f3b819d49c305d2c2fb00faf924298e3e757c1e873132ff507dce61b
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/74d737846f305d0db437d72443bdd8b9a6cc54c460c116c7dafe9c805854b830
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/f34cafa525346345d81cea5715d4d15d47891e4d98f5165fb4fa60d081b87ff9
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/042ed21e04328cec0888e0fb765c942512f38a8e54f50ad3bbda2c4fa8fe793d
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/4e8e3b8c0254361797e7b61250aba88b2ab1f8a27e52c315e0c2c0f39b6f8f4a
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/b350f70521e22e3033a23ac0e7ac7333e44d848a871c33ff0866efb8341009a0
overlay                    overlay    70G   21G   50G  30% /data_siap/docker-engine/rootfs/overlayfs/028590d38f85b6bdde9107a71e63964d52b0d741f6a1baff8d4fb4032cbac5f0
tmpfs                      tmpfs     101G     0  101G   0% /run/user/1000
tmpfs                      tmpfs     733G   12K  733G   1% /var/lib/kubelet/pods/7755c8f9-6432-4eb9-8b78-a03e72a68018/volumes/kubernetes.io~projected/kube-api-access-kksz9
tmpfs                      tmpfs     170M   12K  170M   1% /var/lib/kubelet/pods/3c5be18c-a540-41ac-83c2-3861a2bcb9bb/volumes/kubernetes.io~projected/kube-api-access-7mrjg
tmpfs                      tmpfs     733G   12K  733G   1% /var/lib/kubelet/pods/8a79cd56-dbfa-4beb-ad90-f344bb5a2d86/volumes/kubernetes.io~projected/kube-api-access-ptc8x
tmpfs                      tmpfs     733G   12K  733G   1% /var/lib/kubelet/pods/3b5dd99c-66e6-4672-bb2e-3b6fa4432e3b/volumes/kubernetes.io~projected/kube-api-access-xjnfm
tmpfs                      tmpfs     733G   12K  733G   1% /var/lib/kubelet/pods/797226de-b60d-4d8e-b49e-304e8a54d8f3/volumes/kubernetes.io~projected/kube-api-access-fr67p
shm                        tmpfs      64M     0   64M   0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/aa9ec53f2346f6f77a5866f37f92b3836c4cbd4a265e6c74fabc30cb3ed7692d/shm
shm                        tmpfs      64M     0   64M   0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/083e85b823292548e86d39c943588d6626ac35d345fe9f575ed545c403cdc9c8/shm
shm                        tmpfs      64M     0   64M   0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/b558a74cc9f1f419cfda88ea18a16494b86bcb8077271ac5e73dc467d149a5ed/shm
shm                        tmpfs      64M     0   64M   0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/a83e8ca76848a28530c967828664eade65ba76bd867527fea86d84a52159ba91/shm
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/aa9ec53f2346f6f77a5866f37f92b3836c4cbd4a265e6c74fabc30cb3ed7692d/rootfs
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/083e85b823292548e86d39c943588d6626ac35d345fe9f575ed545c403cdc9c8/rootfs
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/b558a74cc9f1f419cfda88ea18a16494b86bcb8077271ac5e73dc467d149a5ed/rootfs
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/a83e8ca76848a28530c967828664eade65ba76bd867527fea86d84a52159ba91/rootfs
shm                        tmpfs      64M     0   64M   0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/46aa486a0db47a36f280435c2306dcdf8bd8bb2ddd659137f9835b3f2f843e2f/shm
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/46aa486a0db47a36f280435c2306dcdf8bd8bb2ddd659137f9835b3f2f843e2f/rootfs
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/289ea0666b97ea1b823acef711f82fa77bc6429f780238714df7b0ee717d4aeb/rootfs
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/50f6aff2fa02c6f1fefb80b5fa257f06e12bbe844fae1ff86fa3baf82a84435f/rootfs
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/3e49c1c0b366bfde3cfc8a3253acfcd4b8be111a0291b0d32737b8340ad5308d/rootfs
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/0b90b7b4358e379784c22e6caf00267360f983750caf09ca05f8750ce6c2b0dd/rootfs
overlay                    overlay    70G   21G   50G  30% /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/9e956811daa665055723c13fc1e0d6621cb893d63efaa2c4a7dccf14af4c3941/rootfs
